,Time,Value
0,42.15000000000018,-0.001
1,42.16000000000018,0.0055
2,42.17000000000018,0.001
3,42.18000000000018,0.0015
4,42.190000000000175,0.0015
5,42.20000000000017,0.0015
6,42.21000000000017,0.004
7,42.22000000000017,0.0
8,42.23000000000017,-0.0045
9,42.240000000000165,-0.007
10,42.25000000000016,-0.0045
11,42.26000000000016,-0.0035
12,42.27000000000016,-0.0045
13,42.28000000000016,-0.0055
14,42.290000000000155,-0.0055
15,42.30000000000015,-0.004
16,42.31000000000015,-0.0035
17,42.32000000000015,0.001
18,42.33000000000015,0.002
19,42.340000000000146,0.0055
20,42.35000000000014,0.007
21,42.36000000000014,0.0055
22,42.37000000000014,0.0
23,42.38000000000014,-0.002
24,42.390000000000136,0.008
25,42.400000000000134,0.0085
26,42.41000000000013,0.0035
27,42.42000000000013,-0.0035
28,42.43000000000013,-0.006
29,42.440000000000126,-0.005
30,42.450000000000124,-0.0135
31,42.46000000000012,-0.016
32,42.47000000000012,-0.012
33,42.48000000000012,-0.008
34,42.490000000000116,-0.0065
35,42.500000000000114,-0.009
36,42.51000000000011,-0.008
37,42.52000000000011,-0.003
38,42.53000000000011,-0.004
39,42.540000000000106,-0.005
40,42.550000000000104,-0.007
41,42.5600000000001,-0.0055
42,42.5700000000001,-0.0045
43,42.5800000000001,-0.011
44,42.590000000000096,-0.008
45,42.600000000000094,-0.0065
46,42.61000000000009,-0.009
47,42.62000000000009,-0.0095
48,42.63000000000009,-0.007
49,42.640000000000086,-0.0025
50,42.650000000000084,-0.003
51,42.66000000000008,-0.003
52,42.67000000000008,-0.001
53,42.68000000000008,-0.002
54,42.690000000000076,-0.0045
55,42.700000000000074,-0.0035
56,42.71000000000007,-0.0045
57,42.72000000000007,-0.01
58,42.73000000000007,-0.013
59,42.740000000000066,-0.007
60,42.750000000000064,-0.002
61,42.76000000000006,0.0
62,42.77000000000006,-0.0005
63,42.78000000000006,-0.0015
64,42.790000000000056,-0.002
65,42.800000000000054,-0.0035
66,42.81000000000005,-0.0035
67,42.82000000000005,-0.003
68,42.83000000000005,-0.005
69,42.840000000000046,-0.008
70,42.850000000000044,-0.0045
71,42.86000000000004,-0.006
72,42.87000000000004,-0.0075
73,42.88000000000004,0.0
74,42.890000000000036,0.0
75,42.900000000000034,-0.005
76,42.91000000000003,-0.0055
77,42.92000000000003,-0.004
78,42.93000000000003,-0.0075
79,42.940000000000026,-0.0105
80,42.950000000000024,-0.0045
81,42.96000000000002,0.002
82,42.97000000000002,0.0035
83,42.98000000000002,0.0
84,42.990000000000016,-0.0005
85,43.000000000000014,0.004
86,43.01000000000001,0.008
87,43.02000000000001,0.007
88,43.03000000000001,-0.0015
89,43.040000000000006,-0.0075
90,43.050000000000004,-0.008
91,43.06,-0.01
92,43.07,-0.0095
93,43.08,-0.003
94,43.089999999999996,0.005
95,43.099999999999994,0.003
96,43.10999999999999,-0.0015
97,43.11999999999999,-0.0025
98,43.12999999999999,-0.001
99,43.139999999999986,0.0005
100,43.149999999999984,-0.003
101,43.15999999999998,0.0005
102,43.16999999999998,0.0015
103,43.17999999999998,0.0
104,43.189999999999976,0.0065
105,43.199999999999974,0.006
106,43.20999999999997,0.002
107,43.21999999999997,0.0
108,43.22999999999997,0.001
109,43.23999999999997,-0.0035
110,43.249999999999964,-0.0075
111,43.25999999999996,-0.001
112,43.26999999999996,0.001
113,43.27999999999996,0.001
114,43.28999999999996,0.0015
115,43.299999999999955,0.0005
116,43.30999999999995,-0.0035
117,43.31999999999995,-0.0025
118,43.32999999999995,0.007
119,43.33999999999995,0.0055
120,43.349999999999945,0.0025
121,43.35999999999994,0.009
122,43.36999999999994,0.011
123,43.37999999999994,0.0135
124,43.38999999999994,0.0115
125,43.399999999999935,0.0075
126,43.40999999999993,0.011
127,43.41999999999993,0.0115
128,43.42999999999993,0.01
129,43.43999999999993,0.01
130,43.449999999999925,0.0175
131,43.45999999999992,0.015
132,43.46999999999992,0.013
133,43.47999999999992,0.017
134,43.48999999999992,0.016
135,43.499999999999915,0.013
136,43.50999999999991,0.0125
137,43.51999999999991,0.02
138,43.52999999999991,0.03
139,43.53999999999991,0.04
140,43.549999999999905,0.042
141,43.5599999999999,0.04
142,43.5699999999999,0.0405
143,43.5799999999999,0.0425
144,43.5899999999999,0.0415
145,43.599999999999895,0.0415
146,43.60999999999989,0.042
147,43.61999999999989,0.0355
148,43.62999999999989,0.0325
149,43.63999999999989,0.035
150,43.649999999999885,0.0395
151,43.65999999999988,0.039
152,43.66999999999988,0.039
153,43.67999999999988,0.0455
154,43.68999999999988,0.046
155,43.699999999999875,0.048
156,43.70999999999987,0.0525
157,43.71999999999987,0.052
158,43.72999999999987,0.0495
159,43.73999999999987,0.049
160,43.749999999999865,0.051
161,43.75999999999986,0.049
162,43.76999999999986,0.0505
163,43.77999999999986,0.059
164,43.78999999999986,0.0605
165,43.799999999999855,0.058
166,43.80999999999985,0.0575
167,43.81999999999985,0.058
168,43.82999999999985,0.056
169,43.83999999999985,0.055
170,43.849999999999845,0.057
171,43.85999999999984,0.05
172,43.86999999999984,0.044
173,43.87999999999984,0.0485
174,43.88999999999984,0.054
175,43.899999999999835,0.0595
176,43.90999999999983,0.0625
177,43.91999999999983,0.0635
178,43.92999999999983,0.062
179,43.93999999999983,0.0575
180,43.949999999999825,0.0595
181,43.95999999999982,0.0615
182,43.96999999999982,0.0595
183,43.97999999999982,0.0615
184,43.98999999999982,0.0615
185,43.999999999999815,0.062
186,44.00999999999981,0.0595
187,44.01999999999981,0.055
188,44.02999999999981,0.0565
189,44.03999999999981,0.053
190,44.049999999999805,0.046
191,44.0599999999998,0.044
192,44.0699999999998,0.043
193,44.0799999999998,0.0385
194,44.0899999999998,0.035
195,44.099999999999795,0.0325
196,44.10999999999979,0.033
197,44.11999999999979,0.033
198,44.12999999999979,0.0325
199,44.13999999999979,0.0275
200,44.149999999999785,0.0155
201,44.15999999999978,0.0175
202,44.16999999999978,0.025
203,44.17999999999978,0.022
204,44.18999999999978,0.0155
205,44.199999999999775,0.009
206,44.20999999999977,0.0055
207,44.21999999999977,0.0085
208,44.22999999999977,0.008
209,44.23999999999977,0.001
