Time,Value
0 , 10.182688149804765
1 , 9.945961878612776
2 , 9.767951544102846
3 , 10.208383568765978
4 , 9.799305550157632
5 , 9.862195705850826
6 , 10.11132650377769
7 , 9.9288949302171
8 , 10.239965666052202
9 , 10.126728925943633
10 , 10.085179161585096
11 , 9.942686906163349
12 , 9.889434672107646
13 , 9.875270439448467
14 , 10.080512536820459
15 , 10.131181792474843
16 , 10.288609801238369
17 , 10.198968709292885
18 , 10.186892152672005
19 , 10.020434356715757
20 , 9.86047985119404
21 , 10.298074382211437
22 , 9.922123289960455
23 , 9.839819248012512
24 , 10.030806410046376
25 , 10.06588028763071
26 , 10.151059546079896
27 , 10.115526106026435
28 , 10.111277500713516
29 , 10.162219148285345
30 , 10.175796618426578
31 , 10.005847773613302
32 , 10.061421265893369
33 , 9.981990876982627
34 , 10.079603158466945
35 , 9.845501074767247
36 , 10.322226794603353
37 , 10.223507581865626
38 , 10.085162836394508
39 , 10.32959844013854
40 , 10.319204815246987
41 , 10.308612405149681
42 , 9.764749256945294
43 , 9.767224190916552
44 , 9.434176496050359
45 , 8.880566584160045
46 , 9.0089759014147
47 , 8.480717375477992
48 , 8.015835201799508
49 , 8.217208945469315
50 , 7.570931697088127
51 , 7.606349233227094
52 , 7.315276148090574
53 , 6.710057708776746
54 , 6.67972353637828
55 , 6.423759399793277
56 , 6.211349833661999
57 , 6.101462559705834
58 , 5.666162311955457
59 , 5.506721926196779
60 , 5.216800152026621
61 , 4.9996530755332556
62 , 5.188652458271208
63 , 4.846778050890748
64 , 5.0283989481807305
65 , 5.133216734102776
66 , 5.135694087778435
67 , 5.179885599767383
68 , 5.033839040966982
69 , 5.210815183879051
70 , 5.282918289485942
71 , 5.03325651432175
72 , 4.907552758144671
73 , 5.154888222610591
74 , 5.0578329360108265
75 , 5.060320902475113
76 , 5.306362009636214
77 , 5.205087548307894
78 , 4.905185864248162
79 , 4.84240171974528
80 , 4.9783432294561045
81 , 5.262193065376231
82 , 5.292527118173882
83 , 4.930889632048149
84 , 5.127660936107587
85 , 4.888270039525373
86 , 5.097876607521171
87 , 5.200176994338778
88 , 4.952316296530328
89 , 5.125252907051526
90 , 5.1043047529626815
91 , 5.123976024594531
92 , 5.0007609061264935
93 , 5.089551505872287
94 , 5.094300436949106
95 , 4.984618864487664
96 , 4.925455177109489
97 , 4.923810737110458
98 , 4.757991752548548
99 , 5.000035135646236
100 , 4.846704313185514
101 , 5.138614762384191
102 , 4.803601445163028
103 , 4.906324951942313
104 , 4.878484047387082
105 , 5.156712046588763
106 , 4.785960499362877
107 , 5.165193147054363
108 , 4.909471909834476
109 , 4.980247742189492
110 , 4.749469595692245
111 , 5.1749831861843685
112 , 4.977129084608033
113 , 4.837524900071998
114 , 4.815589634447295
115 , 5.151646761862827
116 , 5.020431442006704
117 , 4.929976409663851
118 , 4.83175886728731
119 , 4.711707836028213
120 , 4.947727427900525
121 , 4.99231450092939
122 , 5.138575691131172
123 , 5.133127392283413
124 , 4.810204529807624
125 , 4.799234939763689
126 , 4.905152454687178
127 , 4.791948111215263
128 , 4.9285745652548325
129 , 5.000588038269675
130 , 4.828737115945038
131 , 4.872695505030962
132 , 5.080842340865217
133 , 4.743588990199273
134 , 4.7940158517924605
135 , 5.128734863103958
136 , 4.822400939549174
137 , 4.945425106768899
138 , 4.839951406805633
139 , 4.725131086186579
140 , 4.676200745765541
141 , 4.812527440485026
142 , 5.083461634025848
143 , 4.925492020675841
144 , 4.931643263508023
145 , 5.476540937771506
146 , 5.504426286349803
147 , 5.505950096228313
148 , 5.5690857521081725
149 , 5.708003652096739
150 , 6.161031781242357
151 , 6.37814677176693
152 , 6.352185975200941
153 , 6.553061974136958
154 , 6.338924080969462
155 , 6.716855227037483
156 , 7.008832605667017
157 , 7.217985846260975
158 , 7.18686461879768
159 , 7.2072564929142136
160 , 7.303581355377629
161 , 7.606095028876312
162 , 7.837924245705558
163 , 7.620434759233122
164 , 8.076585102533603
165 , 8.160472254517517
166 , 8.084048989950908
167 , 8.625003068643794
168 , 8.569607274099804
169 , 8.78326852866837
170 , 8.668222051827817
171 , 8.99246714767358
172 , 9.064524198259292
173 , 9.038280552769319
174 , 9.497215670933157
175 , 9.674736424775862
176 , 9.793804434799526
177 , 9.672094123183957
178 , 9.83232123536523
179 , 10.322308712629248
180 , 10.249729115781346
181 , 9.968377678620804
182 , 10.299560504288978
183 , 10.07023487753548
184 , 9.900396888645513
185 , 9.99648212322015
186 , 10.01266974715277
187 , 10.23563560097449
188 , 10.049816369657613
189 , 10.165582371396637
190 , 9.971273525404722
191 , 9.958843702548274
192 , 9.909588065007371
193 , 9.893755614521707
194 , 9.926730088316116
195 , 9.72506422986009
196 , 9.720015371123745
197 , 9.747407982845598
198 , 9.730743454346548
199 , 9.830569093946638
